scene,angle_deg,category,direction,vx,vy,yaw,control_result,process_result,exit_code,log,csv
20-platform,20,DIAGONAL,up,0.25,0.20,0,PASS,OK,0,/home/khanh248/Documents/HB/Mujoco/unitree_mujoco/simulate_cpp/results/meta_policy_paper_20260828/repeats/repeat_3/20-platform_DIAGONAL_up.log,/home/khanh248/Documents/HB/Mujoco/unitree_mujoco/simulate_cpp/results/meta_policy_paper_20260828/repeats/repeat_3/20-platform_DIAGONAL_up.csv
20-platform,20,DIAGONAL,down,-0.25,0.20,0,FAIL,OK,2,/home/khanh248/Documents/HB/Mujoco/unitree_mujoco/simulate_cpp/results/meta_policy_paper_20260828/repeats/repeat_3/20-platform_DIAGONAL_down.log,/home/khanh248/Documents/HB/Mujoco/unitree_mujoco/simulate_cpp/results/meta_policy_paper_20260828/repeats/repeat_3/20-platform_DIAGONAL_down.csv
20,20,CROSS,left,0,0.3,0,FAIL,OK,3,/home/khanh248/Documents/HB/Mujoco/unitree_mujoco/simulate_cpp/results/meta_policy_paper_20260828/repeats/repeat_3/20_CROSS_left.log,/home/khanh248/Documents/HB/Mujoco/unitree_mujoco/simulate_cpp/results/meta_policy_paper_20260828/repeats/repeat_3/20_CROSS_left.csv
20,20,CROSS,right,0,-0.3,0,FAIL,OK,3,/home/khanh248/Documents/HB/Mujoco/unitree_mujoco/simulate_cpp/results/meta_policy_paper_20260828/repeats/repeat_3/20_CROSS_right.log,/home/khanh248/Documents/HB/Mujoco/unitree_mujoco/simulate_cpp/results/meta_policy_paper_20260828/repeats/repeat_3/20_CROSS_right.csv
20,20,TURN,left,0,0,0.5,FAIL,OK,3,/home/khanh248/Documents/HB/Mujoco/unitree_mujoco/simulate_cpp/results/meta_policy_paper_20260828/repeats/repeat_3/20_TURN_left.log,/home/khanh248/Documents/HB/Mujoco/unitree_mujoco/simulate_cpp/results/meta_policy_paper_20260828/repeats/repeat_3/20_TURN_left.csv
20,20,TURN,right,0,0,-0.5,FAIL,OK,3,/home/khanh248/Documents/HB/Mujoco/unitree_mujoco/simulate_cpp/results/meta_policy_paper_20260828/repeats/repeat_3/20_TURN_right.log,/home/khanh248/Documents/HB/Mujoco/unitree_mujoco/simulate_cpp/results/meta_policy_paper_20260828/repeats/repeat_3/20_TURN_right.csv
25,25,STAND,neutral,0,0,0,FAIL,OK,3,/home/khanh248/Documents/HB/Mujoco/unitree_mujoco/simulate_cpp/results/meta_policy_paper_20260828/repeats/repeat_3/25_STAND_neutral.log,/home/khanh248/Documents/HB/Mujoco/unitree_mujoco/simulate_cpp/results/meta_policy_paper_20260828/repeats/repeat_3/25_STAND_neutral.csv
25-platform,25,STRAIGHT,up,0.3,0,0,FAIL,OK,3,/home/khanh248/Documents/HB/Mujoco/unitree_mujoco/simulate_cpp/results/meta_policy_paper_20260828/repeats/repeat_3/25-platform_STRAIGHT_up.log,/home/khanh248/Documents/HB/Mujoco/unitree_mujoco/simulate_cpp/results/meta_policy_paper_20260828/repeats/repeat_3/25-platform_STRAIGHT_up.csv
25-platform,25,STRAIGHT,down,-0.3,0,0,FAIL,OK,2,/home/khanh248/Documents/HB/Mujoco/unitree_mujoco/simulate_cpp/results/meta_policy_paper_20260828/repeats/repeat_3/25-platform_STRAIGHT_down.log,/home/khanh248/Documents/HB/Mujoco/unitree_mujoco/simulate_cpp/results/meta_policy_paper_20260828/repeats/repeat_3/25-platform_STRAIGHT_down.csv
25-platform,25,DIAGONAL,up,0.25,0.20,0,PASS,OK,0,/home/khanh248/Documents/HB/Mujoco/unitree_mujoco/simulate_cpp/results/meta_policy_paper_20260828/repeats/repeat_3/25-platform_DIAGONAL_up.log,/home/khanh248/Documents/HB/Mujoco/unitree_mujoco/simulate_cpp/results/meta_policy_paper_20260828/repeats/repeat_3/25-platform_DIAGONAL_up.csv
25-platform,25,DIAGONAL,down,-0.25,0.20,0,FAIL,ERROR,134,/home/khanh248/Documents/HB/Mujoco/unitree_mujoco/simulate_cpp/results/meta_policy_paper_20260828/repeats/repeat_3/25-platform_DIAGONAL_down.log,/home/khanh248/Documents/HB/Mujoco/unitree_mujoco/simulate_cpp/results/meta_policy_paper_20260828/repeats/repeat_3/25-platform_DIAGONAL_down.csv
25,25,CROSS,left,0,0.3,0,FAIL,OK,3,/home/khanh248/Documents/HB/Mujoco/unitree_mujoco/simulate_cpp/results/meta_policy_paper_20260828/repeats/repeat_3/25_CROSS_left.log,/home/khanh248/Documents/HB/Mujoco/unitree_mujoco/simulate_cpp/results/meta_policy_paper_20260828/repeats/repeat_3/25_CROSS_left.csv
25,25,CROSS,right,0,-0.3,0,FAIL,OK,3,/home/khanh248/Documents/HB/Mujoco/unitree_mujoco/simulate_cpp/results/meta_policy_paper_20260828/repeats/repeat_3/25_CROSS_right.log,/home/khanh248/Documents/HB/Mujoco/unitree_mujoco/simulate_cpp/results/meta_policy_paper_20260828/repeats/repeat_3/25_CROSS_right.csv
25,25,TURN,left,0,0,0.5,FAIL,OK,3,/home/khanh248/Documents/HB/Mujoco/unitree_mujoco/simulate_cpp/results/meta_policy_paper_20260828/repeats/repeat_3/25_TURN_left.log,/home/khanh248/Documents/HB/Mujoco/unitree_mujoco/simulate_cpp/results/meta_policy_paper_20260828/repeats/repeat_3/25_TURN_left.csv
25,25,TURN,right,0,0,-0.5,FAIL,OK,3,/home/khanh248/Documents/HB/Mujoco/unitree_mujoco/simulate_cpp/results/meta_policy_paper_20260828/repeats/repeat_3/25_TURN_right.log,/home/khanh248/Documents/HB/Mujoco/unitree_mujoco/simulate_cpp/results/meta_policy_paper_20260828/repeats/repeat_3/25_TURN_right.csv
30,30,STAND,neutral,0,0,0,FAIL,OK,3,/home/khanh248/Documents/HB/Mujoco/unitree_mujoco/simulate_cpp/results/meta_policy_paper_20260828/repeats/repeat_3/30_STAND_neutral.log,/home/khanh248/Documents/HB/Mujoco/unitree_mujoco/simulate_cpp/results/meta_policy_paper_20260828/repeats/repeat_3/30_STAND_neutral.csv
30-platform,30,STRAIGHT,up,0.3,0,0,PASS,OK,0,/home/khanh248/Documents/HB/Mujoco/unitree_mujoco/simulate_cpp/results/meta_policy_paper_20260828/repeats/repeat_3/30-platform_STRAIGHT_up.log,/home/khanh248/Documents/HB/Mujoco/unitree_mujoco/simulate_cpp/results/meta_policy_paper_20260828/repeats/repeat_3/30-platform_STRAIGHT_up.csv
30-platform,30,STRAIGHT,down,-0.3,0,0,FAIL,OK,3,/home/khanh248/Documents/HB/Mujoco/unitree_mujoco/simulate_cpp/results/meta_policy_paper_20260828/repeats/repeat_3/30-platform_STRAIGHT_down.log,/home/khanh248/Documents/HB/Mujoco/unitree_mujoco/simulate_cpp/results/meta_policy_paper_20260828/repeats/repeat_3/30-platform_STRAIGHT_down.csv
30-platform,30,DIAGONAL,up,0.25,0.20,0,PASS,OK,0,/home/khanh248/Documents/HB/Mujoco/unitree_mujoco/simulate_cpp/results/meta_policy_paper_20260828/repeats/repeat_3/30-platform_DIAGONAL_up.log,/home/khanh248/Documents/HB/Mujoco/unitree_mujoco/simulate_cpp/results/meta_policy_paper_20260828/repeats/repeat_3/30-platform_DIAGONAL_up.csv
30-platform,30,DIAGONAL,down,-0.25,0.20,0,FAIL,OK,2,/home/khanh248/Documents/HB/Mujoco/unitree_mujoco/simulate_cpp/results/meta_policy_paper_20260828/repeats/repeat_3/30-platform_DIAGONAL_down.log,/home/khanh248/Documents/HB/Mujoco/unitree_mujoco/simulate_cpp/results/meta_policy_paper_20260828/repeats/repeat_3/30-platform_DIAGONAL_down.csv
30,30,CROSS,left,0,0.3,0,FAIL,OK,3,/home/khanh248/Documents/HB/Mujoco/unitree_mujoco/simulate_cpp/results/meta_policy_paper_20260828/repeats/repeat_3/30_CROSS_left.log,/home/khanh248/Documents/HB/Mujoco/unitree_mujoco/simulate_cpp/results/meta_policy_paper_20260828/repeats/repeat_3/30_CROSS_left.csv
30,30,CROSS,right,0,-0.3,0,FAIL,OK,3,/home/khanh248/Documents/HB/Mujoco/unitree_mujoco/simulate_cpp/results/meta_policy_paper_20260828/repeats/repeat_3/30_CROSS_right.log,/home/khanh248/Documents/HB/Mujoco/unitree_mujoco/simulate_cpp/results/meta_policy_paper_20260828/repeats/repeat_3/30_CROSS_right.csv
30,30,TURN,left,0,0,0.5,FAIL,OK,3,/home/khanh248/Documents/HB/Mujoco/unitree_mujoco/simulate_cpp/results/meta_policy_paper_20260828/repeats/repeat_3/30_TURN_left.log,/home/khanh248/Documents/HB/Mujoco/unitree_mujoco/simulate_cpp/results/meta_policy_paper_20260828/repeats/repeat_3/30_TURN_left.csv
30,30,TURN,right,0,0,-0.5,FAIL,ERROR,134,/home/khanh248/Documents/HB/Mujoco/unitree_mujoco/simulate_cpp/results/meta_policy_paper_20260828/repeats/repeat_3/30_TURN_right.log,/home/khanh248/Documents/HB/Mujoco/unitree_mujoco/simulate_cpp/results/meta_policy_paper_20260828/repeats/repeat_3/30_TURN_right.csv
mixed,mixed,STRAIGHT,traverse,0.4,0,0,FAIL,OK,3,/home/khanh248/Documents/HB/Mujoco/unitree_mujoco/simulate_cpp/results/meta_policy_paper_20260828/repeats/repeat_3/mixed_STRAIGHT_traverse.log,/home/khanh248/Documents/HB/Mujoco/unitree_mujoco/simulate_cpp/results/meta_policy_paper_20260828/repeats/repeat_3/mixed_STRAIGHT_traverse.csv
